pair,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,yearly_pass,yearly_detail
"DOT/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"LTC/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"ATOM/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"NEAR/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"APT/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"ARB/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"OP/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"INJ/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"SUI/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"TRX/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"UNI/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
"FIL/USDT:USDT",0,0,0,0,0,0,0,0,SKIPPED,""
