strategy,period,profit_pct,pf,dd_pct,sortino
Risk_Stair_S5,W1_train,246.28,1.31,12.86,4.64
Risk_Stair_S5,W1_test,89.65,1.51,17.03,9.45
Risk_Stair_S5,W2_train,556.24,1.40,17.09,4.71
Risk_Stair_S5,W2_test,112.11,1.51,12.97,4.76
Risk_Stair_S5,W3_train,816.29,1.43,17.09,4.62
Risk_Stair_S5,W3_test,52.91,1.52,12.93,5.07
Risk_Stair_S3,W1_train,206.09,1.29,17.46,4.00
Risk_Stair_S3,W1_test,84.35,1.54,14.54,8.52
Risk_Stair_S3,W2_train,464.45,1.39,14.61,4.72
Risk_Stair_S3,W2_test,84.73,1.45,11.22,4.50
Risk_Stair_S3,W3_train,614.55,1.38,14.61,4.23
Risk_Stair_S3,W3_test,46.27,1.53,11.34,4.96
Risk_Combo_Full,W1_train,145.32,1.36,10.25,4.44
Risk_Combo_Full,W1_test,35.32,1.39,13.91,5.31
Risk_Combo_Full,W2_train,232.98,1.37,13.83,4.34
Risk_Combo_Full,W2_test,32.55,1.29,12.10,2.46
Risk_Combo_Full,W3_train,280.82,1.35,14.23,3.86
Risk_Combo_Full,W3_test,16.59,1.30,11.70,2.44
